Gene,MutSig(Q-value),# Mut,# Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
FMO1,8,8,1013,0.8%,No
FLT4,11,10,1013,1.0%,Yes
FLT3LG,2,2,1013,0.2%,No
FLT3,5,5,1013,0.5%,Yes
FLT1,10,10,1013,1.0%,Yes
IPP,3,3,1013,0.3%,No
OPHN1,6,5,1013,0.5%,No
IRAK1,3,3,1013,0.3%,No
OPRD1,2,2,1013,0.2%,No
ITGA6,4,4,1013,0.4%,No
OPRK1,2,2,1013,0.2%,No
IRAK2,5,5,1013,0.5%,No
OPRL1,3,3,1013,0.3%,No
OPRM1,5,5,1013,0.5%,No
IREB2,4,4,1013,0.4%,No
FMO4,3,3,1013,0.3%,No
ISL1,1,1,1013,<0.1%,No
ISLR,5,5,1013,0.5%,No
ITGA1,6,6,1013,0.6%,No
ITGA2,9,9,1013,0.9%,No
FNTB,3,3,1013,0.3%,No
CDH12,10,10,1013,1.0%,No
CDH10,8,8,1013,0.8%,No
FNTA,1,1,1013,<0.1%,No
CDH9,10,10,1013,1.0%,No
CDH8,16,15,1013,1.5%,No
CDH7,4,4,1013,0.4%,No
CDH6,11,10,1013,1.0%,No
FN1,14,13,1013,1.3%,No
CDH5,8,7,1013,0.7%,No
AFF2,14,14,1013,1.4%,No
CDH4,9,9,1013,0.9%,No
MRGPRX1,9,9,1013,0.9%,No
CDH3,3,3,1013,0.3%,No
FMR1,2,2,1013,0.2%,No
IRF5,3,3,1013,0.3%,No
OR3A1,4,4,1013,0.4%,No
IRF6,4,4,1013,0.4%,No
IRF7,2,2,1013,0.2%,No
IRS1,10,10,1013,1.0%,Yes
SH3PXD2B,6,6,1013,0.6%,No
CDH11,15,15,1013,1.5%,Yes
CYP4X1,2,2,1013,0.2%,No
ITGA9,8,8,1013,0.8%,No
ITGAD,8,7,1013,0.7%,No
ITGAE,3,3,1013,0.3%,No
ITGAL,7,7,1013,0.7%,No
ITGAM,14,14,1013,1.4%,No
CDK7,3,3,1013,0.3%,No
GPRIN3,3,3,1013,0.3%,No
CDK6,3,3,1013,0.3%,Yes
FOLR3,5,5,1013,0.5%,No
CDK5,2,2,1013,0.2%,No
FOLR2,1,1,1013,<0.1%,No
CDK4,1,1,1013,<0.1%,Yes
CDK2,3,3,1013,0.3%,No
FOLR1,1,1,1013,<0.1%,No
CDH18,9,9,1013,0.9%,No
CDH17,8,8,1013,0.8%,No
FOLH1,1,1,1013,<0.1%,Yes
CDH16,5,5,1013,0.5%,No
CDH15,4,4,1013,0.4%,No
CDH13,3,3,1013,0.3%,No
ITGA2B,7,7,1013,0.7%,No
ITGA3,9,9,1013,0.9%,No
ITGA4,10,10,1013,1.0%,No
ITGA5,3,3,1013,0.3%,No
ITGA7,7,7,1013,0.7%,No
KCTD1,1,1,1013,<0.1%,No
ITGB3,2,2,1013,0.2%,No
ITGB4,12,10,1013,1.0%,No
ITGB5,9,9,1013,0.9%,No
COX18,2,2,1013,0.2%,No
ITGB6,8,7,1013,0.7%,No
ITGB7,5,5,1013,0.5%,No
CDKN3,1,1,1013,<0.1%,No
YIPF7,3,3,1013,0.3%,No
CDKN2C,1,1,1013,<0.1%,Yes
FRYL,13,11,1013,1.1%,No
CDKN2A,4,3,1013,0.3%,Yes
FPR3,5,5,1013,0.5%,No
CDKN1B,16,15,1013,1.5%,Yes
FPR2,8,8,1013,0.8%,No
CDKN1A,2,2,1013,0.2%,Yes
FPR1,5,5,1013,0.5%,No
CDK9,1,1,1013,<0.1%,No
FPGS,3,3,1013,0.3%,No
CDK8,1,1,1013,<0.1%,Yes
FOSL2,2,2,1013,0.2%,No
FOSB,4,4,1013,0.4%,No
ITGAV,7,6,1013,0.6%,No
ITGAX,12,12,1013,1.2%,No
ITGB1,2,2,1013,0.2%,No
ITGB2,8,8,1013,0.8%,No
RNF175,6,6,1013,0.6%,No
CDX1,3,3,1013,0.3%,No
TAS2R43,1,1,1013,<0.1%,No
CDS1,3,3,1013,0.3%,No
TAS2R41,1,1,1013,<0.1%,No
TAS2R39,1,1,1013,<0.1%,No
CDR2,3,3,1013,0.3%,No
CDR1,1,1,1013,<0.1%,No
ITGB8,3,3,1013,0.3%,No
ITIH1,4,4,1013,0.4%,No
ITIH2,9,9,1013,0.9%,No
ITIH3,5,5,1013,0.5%,No
TAS2R19,1,1,1013,<0.1%,No
TAS2R30,2,2,1013,0.2%,No
TAS2R31,3,2,1013,0.2%,No
CEBPG,2,2,1013,0.2%,No
CEBPE,3,3,1013,0.3%,No
TAS2R50,3,3,1013,0.3%,No
TAS2R20,1,1,1013,<0.1%,No
CEACAM5,1,1,1013,<0.1%,No
CLGN,2,2,1013,0.2%,No
CDX4,1,1,1013,<0.1%,No
CDX2,2,2,1013,0.2%,Yes
RDH8,3,3,1013,0.3%,No
ZNF285CP,1,1,1013,<0.1%,No
CARD18,2,2,1013,0.2%,No
CES1,10,10,1013,1.0%,No
FXN,1,1,1013,<0.1%,No
CENPF,12,11,1013,1.1%,No
CENPE,9,9,1013,0.9%,No
ENPP5,7,7,1013,0.7%,No
PRDM4,1,1,1013,<0.1%,No
PRDM5,6,6,1013,0.6%,No
CENPB,3,3,1013,0.3%,No
CEL,5,5,1013,0.5%,No
HNRNPUL1,4,4,1013,0.4%,No
MICALL1,2,2,1013,0.2%,No
TUBGCP6,6,6,1013,0.6%,No
ATE1,2,2,1013,0.2%,No
RIMBP3,6,6,1013,0.6%,No
PTCHD1,3,3,1013,0.3%,No
KATNA1,2,2,1013,0.2%,No
KRR1,1,1,1013,<0.1%,No
SHC2,4,4,1013,0.4%,No
HMSD,1,1,1013,<0.1%,No
CTSC,4,4,1013,0.4%,No
UHRF2,8,8,1013,0.8%,No
CFL1,2,2,1013,0.2%,No
CETP,4,4,1013,0.4%,No
BTN3A1,3,3,1013,0.3%,No
CETN2,1,1,1013,<0.1%,No
EMILIN2,7,7,1013,0.7%,No
MYLK2,6,5,1013,0.5%,No
OBSCN,64,53,1013,5.2%,No
CIT,10,10,1013,1.0%,No
ZCCHC3,3,3,1013,0.3%,No
ALG2,1,1,1013,<0.1%,No
MAGEB10,3,3,1013,0.3%,No
TRIM5,5,5,1013,0.5%,No
EMILIN1,6,5,1013,0.5%,No
SYDE1,3,3,1013,0.3%,No
CEP43,1,1,1013,<0.1%,Yes
CFTR,5,4,1013,0.4%,No
SNORD14D,5,5,1013,0.5%,No
DCAF8L1,3,3,1013,0.3%,No
CEACAM8,4,4,1013,0.4%,No
CCDC112,2,2,1013,0.2%,No
CEACAM7,3,3,1013,0.3%,No
UNC13C,15,13,1013,1.3%,No
CGA,1,1,1013,<0.1%,No
EIF2AK4,7,7,1013,0.7%,No
FHIP1B,5,5,1013,0.5%,No
PLEKHN1,4,4,1013,0.4%,No
SLC10A7,1,1,1013,<0.1%,No
KIRREL2,9,9,1013,0.9%,No
DTNBP1,2,2,1013,0.2%,No
TMEM222,1,1,1013,<0.1%,No
HDHD2,2,1,1013,<0.1%,No
PTGR3,1,1,1013,<0.1%,No
OR6C65,2,2,1013,0.2%,No
TEX55,2,2,1013,0.2%,No
ADGRV1,29,26,1013,2.6%,No
IGSF11,2,2,1013,0.2%,No
CEACAM4,2,2,1013,0.2%,No
KATNAL1,2,2,1013,0.2%,No
WDR54,1,1,1013,<0.1%,No
SIGLEC15,2,2,1013,0.2%,No
ZRANB3,5,5,1013,0.5%,No
FAM153A,1,1,1013,<0.1%,No
ARL10,1,1,1013,<0.1%,No
ALDH16A1,3,3,1013,0.3%,No
CPT1C,7,7,1013,0.7%,No
FBXO30,4,4,1013,0.4%,No
FAM186B,3,3,1013,0.3%,No
HORMAD1,3,3,1013,0.3%,No
ARMC2,2,2,1013,0.2%,No
PGAM4,2,2,1013,0.2%,No
KBTBD7,8,6,1013,0.6%,No
C3ORF20,7,6,1013,0.6%,No
ANKRD27,4,3,1013,0.3%,No
QRICH2,10,8,1013,0.8%,No
MYCBPAP,9,9,1013,0.9%,No
TKTL2,7,6,1013,0.6%,No
FSCB,7,6,1013,0.6%,No
TMEM192,2,2,1013,0.2%,No
SIGLEC11,4,4,1013,0.4%,No
SLC2A13,5,5,1013,0.5%,No
PODN,7,7,1013,0.7%,No
CCDC18,5,5,1013,0.5%,No
CNMD,2,2,1013,0.2%,No
GLRA4,2,2,1013,0.2%,No
SH2D7,1,1,1013,<0.1%,No
WWP2,7,7,1013,0.7%,No
SOX30,6,5,1013,0.5%,No
ZNF704,2,2,1013,0.2%,No
DUS4L,1,1,1013,<0.1%,No
UBE2C,1,1,1013,<0.1%,No
ANO3,8,8,1013,0.8%,No
KIF21B,11,10,1013,1.0%,No
PDS5B,8,8,1013,0.8%,Yes
FNBP1,7,7,1013,0.7%,Yes
SMG1,13,11,1013,1.1%,Yes
OR10J5,5,5,1013,0.5%,No
MYT1L,9,9,1013,0.9%,No
MON2,12,11,1013,1.1%,No
PDXDC1,2,2,1013,0.2%,No
TNIK,13,11,1013,1.1%,No
DEPP1,4,4,1013,0.4%,No
SNRNP35,2,2,1013,0.2%,No
NEUROG3,6,6,1013,0.6%,No
RAPGEF4,5,5,1013,0.5%,No
RALYL,6,6,1013,0.6%,No
CYB561D2,2,2,1013,0.2%,No
ADGRG4,15,15,1013,1.5%,No
CNTN4,6,6,1013,0.6%,No
TMEM115,2,2,1013,0.2%,No
DUSP14,1,1,1013,<0.1%,No
SCGB1D4,1,1,1013,<0.1%,No
TRIM31,6,6,1013,0.6%,No
TOPBP1,7,7,1013,0.7%,No
CDC20B,3,3,1013,0.3%,No
TPPP,4,4,1013,0.4%,No
STMN2,3,3,1013,0.3%,No
KRTCAP3,1,1,1013,<0.1%,No
NMNAT2,4,4,1013,0.4%,No
LRRN4,3,3,1013,0.3%,No
ZHX3,5,5,1013,0.5%,No
HGSNAT,2,2,1013,0.2%,No
ENDOD1,3,3,1013,0.3%,No
NCOA6,10,9,1013,0.9%,No
LRRC56,2,2,1013,0.2%,No
TRIOBP,17,13,1013,1.3%,No
HSF2BP,4,4,1013,0.4%,No
SEPTIN10,2,2,1013,0.2%,No
B4GAT1,3,3,1013,0.3%,No
MID2,2,2,1013,0.2%,No
TMCC1,5,4,1013,0.4%,No
PDZRN3,7,7,1013,0.7%,No
BUD23,2,2,1013,0.2%,No
UNC13A,17,16,1013,1.6%,No
MYO16,15,13,1013,1.3%,No
CT45A5,1,1,1013,<0.1%,No
KDM1A,3,3,1013,0.3%,No
RBM34,3,3,1013,0.3%,No
PRIMPOL,1,1,1013,<0.1%,No
PAQR8,4,2,1013,0.2%,No
SNRNP200,11,11,1013,1.1%,No
PPIL4,1,1,1013,<0.1%,No
PALLD,5,4,1013,0.4%,No
TENT4A,8,8,1013,0.8%,No
ADRM1,4,4,1013,0.4%,No
SLC35D2,3,3,1013,0.3%,No
OR2T3,1,1,1013,<0.1%,No
OR2T8,1,1,1013,<0.1%,No
CPSF6,6,6,1013,0.6%,No
OGFR,5,5,1013,0.5%,No
SAMD4A,7,7,1013,0.7%,No
PHLPP2,3,2,1013,0.2%,No
ZNF292,18,17,1013,1.7%,No
PDZD2,17,15,1013,1.5%,No
WDTC1,2,2,1013,0.2%,No
XPO7,6,5,1013,0.5%,No
KDM4B,7,6,1013,0.6%,No
MAST3,4,4,1013,0.4%,No
USP33,4,4,1013,0.4%,No
FBF1,11,10,1013,1.0%,No
ZNF813,10,9,1013,0.9%,No
DOP1A,12,8,1013,0.8%,No
DDX52,3,3,1013,0.3%,No
ZPBP,4,4,1013,0.4%,No
COL27A1,16,16,1013,1.6%,No
OR6F1,3,3,1013,0.3%,No
ABHD2,4,4,1013,0.4%,No
WWP1,9,7,1013,0.7%,Yes
OR5H15,2,2,1013,0.2%,No
OR5K3,2,2,1013,0.2%,No
OR5K4,2,2,1013,0.2%,No
RAB35,1,1,1013,<0.1%,Yes
IFT27,1,1,1013,<0.1%,No
WDFY3,23,17,1013,1.7%,No
DAAM1,8,7,1013,0.7%,No
TRUB2,3,3,1013,0.3%,No
MAPKBP1,8,8,1013,0.8%,No
PLCH1,14,13,1013,1.3%,No
FETUB,2,2,1013,0.2%,No
KLHDC10,4,4,1013,0.4%,No
CYFIP2,12,12,1013,1.2%,No
OR5H14,2,2,1013,0.2%,No
AKAP8L,6,6,1013,0.6%,No
VAX1,3,3,1013,0.3%,No
TDRKH,3,3,1013,0.3%,No
TMPRSS13,1,1,1013,<0.1%,No
LILRB3,2,2,1013,0.2%,No
LILRA1,5,5,1013,0.5%,No
B3GNT5,2,2,1013,0.2%,No
LILRA2,5,5,1013,0.5%,No
LILRA3,8,8,1013,0.8%,No
RBPMS,1,1,1013,<0.1%,No
DCAF4L2,12,12,1013,1.2%,No
RAB31,2,2,1013,0.2%,No
STK38L,3,3,1013,0.3%,No
SPEN,32,24,1013,2.4%,Yes
FBXO21,6,6,1013,0.6%,No
EXOSC7,2,2,1013,0.2%,No
FAIM2,4,4,1013,0.4%,No
CNOT1,16,16,1013,1.6%,No
RAB21,3,3,1013,0.3%,No
ABCC11,10,9,1013,0.9%,No
RIPK3,3,3,1013,0.3%,No
STON1,2,2,1013,0.2%,No
OR4A47,1,1,1013,<0.1%,No
ZNF440,4,4,1013,0.4%,No
ZNF285,2,2,1013,0.2%,No
IL21,3,3,1013,0.3%,No
TTC23L,2,2,1013,0.2%,No
PARP15,4,4,1013,0.4%,No
CCDC159,1,1,1013,<0.1%,No
IL24,2,2,1013,0.2%,No
SHANK3,3,3,1013,0.3%,No
SLC27A2,4,4,1013,0.4%,No
SLC27A3,5,5,1013,0.5%,No
SPINK5,7,7,1013,0.7%,No
KIF2C,5,5,1013,0.5%,No
SHISAL1,3,3,1013,0.3%,No
LILRB4,1,1,1013,<0.1%,No
TMCO2,1,1,1013,<0.1%,No
GLIPR1,3,3,1013,0.3%,No
FAM81B,3,3,1013,0.3%,No
AP3M1,3,3,1013,0.3%,No
PABPC1,4,3,1013,0.3%,No
ZNF491,2,2,1013,0.2%,No
ZNF441,6,6,1013,0.6%,No
SEC22A,2,2,1013,0.2%,No
LIAS,3,3,1013,0.3%,No
TRIM9,4,4,1013,0.4%,No
KLK11,2,2,1013,0.2%,No
TLK2,3,3,1013,0.3%,No
OR2T27,2,2,1013,0.2%,No
ATF7,2,2,1013,0.2%,No
KDELR3,1,1,1013,<0.1%,No
SNRNP27,3,3,1013,0.3%,No
FAM111A,7,7,1013,0.7%,No
ZNF567,5,5,1013,0.5%,No
MTX3,1,1,1013,<0.1%,No
GPR150,1,1,1013,<0.1%,No
SLC17A9,1,1,1013,<0.1%,No
VSTM2A,7,7,1013,0.7%,No
TTLL9,6,6,1013,0.6%,No
DUSP21,1,1,1013,<0.1%,No
ZNF114,2,2,1013,0.2%,No
GPATCH3,3,3,1013,0.3%,No
IL4I1,3,3,1013,0.3%,No
NAPB,1,1,1013,<0.1%,No
IL20,1,1,1013,<0.1%,No
ZBED8,3,3,1013,0.3%,No
TNN,14,14,1013,1.4%,No
CHTF18,7,7,1013,0.7%,No
ZNF335,7,6,1013,0.6%,No
CIDEC,3,3,1013,0.3%,No
ELMO2,6,6,1013,0.6%,No
GALNT11,3,3,1013,0.3%,No
FAM174A,1,1,1013,<0.1%,No
UBQLN3,4,4,1013,0.4%,No
IL21R,3,3,1013,0.3%,Yes
GALNT9,7,7,1013,0.7%,No
ATP6V0A4,4,4,1013,0.4%,No
IL22,2,2,1013,0.2%,No
DEF6,4,4,1013,0.4%,No
ITSN2,9,9,1013,0.9%,No
STEEP1,3,3,1013,0.3%,No
ZNF667,3,3,1013,0.3%,No
PCIF1,4,4,1013,0.4%,No
ITPA,1,1,1013,<0.1%,No
ITPK1,2,2,1013,0.2%,No
ITPKA,1,1,1013,<0.1%,No
XPNPEP3,6,6,1013,0.6%,No
ITPKB,9,9,1013,0.9%,No
CHP2,3,3,1013,0.3%,No
ITPR1,17,16,1013,1.6%,No
ITPR2,13,12,1013,1.2%,No
ITIH4,6,6,1013,0.6%,No
CUZD1,4,4,1013,0.4%,No
ITK,5,5,1013,0.5%,Yes
ZFTRAF1,1,1,1013,<0.1%,No
STT3A,5,5,1013,0.5%,No
GEMIN4,5,5,1013,0.5%,No
GPSM3,1,1,1013,<0.1%,No
FKBPL,1,1,1013,<0.1%,No
ZNF579,2,2,1013,0.2%,No
SVIP,1,1,1013,<0.1%,No
DMRTC2,4,4,1013,0.4%,No
JAK1,20,14,1013,1.4%,Yes
PPRC1,8,6,1013,0.6%,No
JAK2,3,3,1013,0.3%,Yes
JAK3,2,2,1013,0.2%,Yes
ERC1,11,11,1013,1.1%,Yes
EXPH5,6,6,1013,0.6%,No
TRIM35,3,3,1013,0.3%,No
ITPR3,15,13,1013,1.3%,No
IVD,3,3,1013,0.3%,No
IVL,2,2,1013,0.2%,No
JAG2,14,13,1013,1.3%,No
AVL9,3,3,1013,0.3%,No
ANO7,4,4,1013,0.4%,No
DMRTA2,3,3,1013,0.3%,No
JUNB,1,1,1013,<0.1%,No
ARHGAP26,3,3,1013,0.3%,Yes
JUND,3,3,1013,0.3%,No
TTLL5,6,6,1013,0.6%,No
DMRTB1,4,4,1013,0.4%,No
JUP,3,3,1013,0.3%,No
SIPA1L3,18,18,1013,1.8%,No
KIF1B,8,8,1013,0.8%,No
IQSEC2,5,5,1013,0.5%,No
CDK19,1,1,1013,<0.1%,No
PNPLA8,3,3,1013,0.3%,No
JARID2,6,6,1013,0.6%,Yes
PLB1,4,4,1013,0.4%,No
ZNF423,7,7,1013,0.7%,No
JUN,2,2,1013,0.2%,Yes
ZC3H13,10,10,1013,1.0%,No
KERA,2,2,1013,0.2%,No
DNAJB4,2,2,1013,0.2%,No
ARHGEF4,4,4,1013,0.4%,No
DIDO1,16,15,1013,1.5%,No
ESM1,3,3,1013,0.3%,No
ADAM30,3,3,1013,0.3%,No
ADAM29,15,15,1013,1.5%,No
ZNF433,1,1,1013,<0.1%,No
CLSPN,3,3,1013,0.3%,No
KCNA2,2,2,1013,0.2%,No
KCNA3,6,5,1013,0.5%,No
ZNF609,10,9,1013,0.9%,No
KCNA4,8,8,1013,0.8%,No
TBC1D9B,2,2,1013,0.2%,No
GGA2,6,5,1013,0.5%,No
WAPL,7,7,1013,0.7%,No
SETX,17,14,1013,1.4%,No
SLC45A1,4,4,1013,0.4%,No
CAND2,13,13,1013,1.3%,No
ARHGEF3,4,4,1013,0.4%,No
ANOS1,7,7,1013,0.7%,No
CD82,1,1,1013,<0.1%,No
KARS1,3,3,1013,0.3%,No
KCNA1,5,5,1013,0.5%,No
SPACA9,1,1,1013,<0.1%,No
WDR5,2,2,1013,0.2%,No
ADAMTS13,8,8,1013,0.8%,No
ADAMTS5,5,5,1013,0.5%,No
ADAMTS8,10,10,1013,1.0%,No
PRSS23,3,3,1013,0.3%,No
KCND1,3,3,1013,0.3%,No
NUP42,2,2,1013,0.2%,No
KIF13A,9,8,1013,0.8%,No
NEUROD6,8,8,1013,0.8%,No
NEUROG2,1,1,1013,<0.1%,No
ZNF791,3,3,1013,0.3%,No
RGPD2,1,1,1013,<0.1%,No
PRDM16,10,9,1013,0.9%,Yes
PRDM14,9,9,1013,0.9%,Yes
PRDM15,5,5,1013,0.5%,No
FIGNL1,4,4,1013,0.4%,No
KCNC3,3,3,1013,0.3%,No
ZNF709,10,8,1013,0.8%,No
KCNC4,5,5,1013,0.5%,No
ERP44,1,1,1013,<0.1%,No
HECW1,14,13,1013,1.3%,No
ZNF564,3,3,1013,0.3%,No
BLTP3B,7,6,1013,0.6%,No
SWAP70,4,4,1013,0.4%,No
RRP1B,4,4,1013,0.4%,No
MYCBP2,18,17,1013,1.7%,No
KCNA5,6,6,1013,0.6%,No
PTPN21,8,7,1013,0.7%,No
KCNA6,4,4,1013,0.4%,No
KCNA7,4,4,1013,0.4%,No
KCNA10,1,1,1013,<0.1%,No
KCNB1,10,9,1013,0.9%,No
KCNC1,4,4,1013,0.4%,No
KCNC2,3,3,1013,0.3%,No
RNF180,3,3,1013,0.3%,No
KCNJ3,6,6,1013,0.6%,No
ZNF454,9,8,1013,0.8%,No
KCNJ4,4,4,1013,0.4%,No
KCNJ2,2,2,1013,0.2%,No
TMEM145,3,3,1013,0.3%,No
PRR19,2,2,1013,0.2%,No
KCND2,10,10,1013,1.0%,No
KCND3,7,7,1013,0.7%,No
KCNF1,3,3,1013,0.3%,No
KCNG1,4,4,1013,0.4%,No
KCNH1,6,5,1013,0.5%,No
KCNH2,9,9,1013,0.9%,No
KCNJ14,4,4,1013,0.4%,No
KCNJ15,6,6,1013,0.6%,No
CHD3,19,18,1013,1.8%,No
CHD2,7,7,1013,0.7%,Yes
CHD1,15,14,1013,1.4%,No
RCC1,1,1,1013,<0.1%,No
CHAT,8,8,1013,0.8%,No
RCBTB2,2,2,1013,0.2%,No
CHAD,4,4,1013,0.4%,No
C19ORF54,1,1,1013,<0.1%,No
KCNJ5,4,4,1013,0.4%,Yes
KCNJ6,3,3,1013,0.3%,No
ZNF780A,2,2,1013,0.2%,No
KCNJ8,5,5,1013,0.5%,No
KCNJ10,3,3,1013,0.3%,No
KCNJ11,4,4,1013,0.4%,No
AKR1C4,3,3,1013,0.3%,No
KCNJ12,7,7,1013,0.7%,No
CHD4,17,16,1013,1.6%,Yes
KCNJ13,1,1,1013,<0.1%,No
SYCE1L,1,1,1013,<0.1%,No
KCNN1,8,8,1013,0.8%,No
KCNN2,4,4,1013,0.4%,No
KCNN3,3,3,1013,0.3%,No
KCNN4,7,7,1013,0.7%,No
CHM,4,4,1013,0.4%,No
CHKB,2,2,1013,0.2%,No
CHIT1,4,4,1013,0.4%,No
CHI3L2,3,3,1013,0.3%,No
CHI3L1,2,2,1013,0.2%,No
CHGB,5,5,1013,0.5%,No
CHGA,2,2,1013,0.2%,No
FRK,2,2,1013,0.2%,No
FOXN3,5,5,1013,0.5%,No
CHEK1,1,1,1013,<0.1%,Yes
KCNJ16,3,3,1013,0.3%,No
ZSCAN1,3,3,1013,0.3%,No
KCNK1,1,1,1013,<0.1%,No
KCNK2,6,6,1013,0.6%,No
KCNK3,2,2,1013,0.2%,No
KCNMA1,11,11,1013,1.1%,No
KCNMB1,4,4,1013,0.4%,No
CHKA,2,2,1013,0.2%,No
KCNS3,3,3,1013,0.3%,No
KDR,12,9,1013,0.9%,Yes
KEL,4,4,1013,0.4%,Yes
CHRM4,6,6,1013,0.6%,No
CHRM3,7,7,1013,0.7%,No
LYST,15,14,1013,1.4%,No
CHRM2,9,9,1013,0.9%,No
CHRM1,2,2,1013,0.2%,No
ZIK1,1,1,1013,<0.1%,No
CHN2,1,1,1013,<0.1%,No
CHN1,1,1,1013,<0.1%,Yes
CHML,2,2,1013,0.2%,No
KCNQ1,2,2,1013,0.2%,No
KCNQ2,6,6,1013,0.6%,No
KCNQ3,9,8,1013,0.8%,No
KCNS1,3,3,1013,0.3%,No
KCNS2,2,2,1013,0.2%,No
ACTL9,7,7,1013,0.7%,No
CHRNB4,5,5,1013,0.5%,No
CHRNB3,2,2,1013,0.2%,No
CHRNB2,4,4,1013,0.4%,No
RIMOC1,3,3,1013,0.3%,No
CHRNB1,3,3,1013,0.3%,No
CHRNA7,1,1,1013,<0.1%,No
CHRNA5,3,3,1013,0.3%,No
CHRNA4,10,10,1013,1.0%,No
CHRNA3,4,4,1013,0.4%,No
CHRNA2,2,2,1013,0.2%,No
CHRNA1,6,6,1013,0.6%,No
CHRM5,2,2,1013,0.2%,No
KHK,3,3,1013,0.3%,No
KIF2A,3,3,1013,0.3%,No
KIF3C,2,2,1013,0.2%,No
KIF5A,9,9,1013,0.9%,No
KIF5B,3,3,1013,0.3%,Yes
ZNF615,5,4,1013,0.4%,No
SLC36A3,2,2,1013,0.2%,No
KIF4B,9,9,1013,0.9%,No
CISH,2,2,1013,0.2%,No
CIRBP,2,2,1013,0.2%,No
CKB,1,1,1013,<0.1%,No
FRG1,2,2,1013,0.2%,No
CIDEA,2,2,1013,0.2%,No
CHUK,5,5,1013,0.5%,No
CHRNG,6,6,1013,0.6%,No
CHRNE,3,3,1013,0.3%,No
CHRND,6,6,1013,0.6%,No
MTOR,15,13,1013,1.3%,Yes
KLK9,3,3,1013,0.3%,No
KCNK4,1,1,1013,<0.1%,No
MYEF2,2,2,1013,0.2%,No
IRX4,6,6,1013,0.6%,No
AK3,1,1,1013,<0.1%,No
ASAP1,8,8,1013,0.8%,No
HP1BP3,3,3,1013,0.3%,No
FTH1,1,1,1013,<0.1%,No
OR2V2,2,2,1013,0.2%,No
ERCC8,1,1,1013,<0.1%,No
FSHR,10,10,1013,1.0%,No
CKMT2,3,3,1013,0.3%,No
CENPI,2,2,1013,0.2%,No
CKMT1B,1,1,1013,<0.1%,No
CKM,3,3,1013,0.3%,No
IZUMO1,2,2,1013,0.2%,No
MAMSTR,2,2,1013,0.2%,No
TPRX1,1,1,1013,<0.1%,No
NKPD1,9,8,1013,0.8%,No
HDGFL3,1,1,1013,<0.1%,No
COPS7A,1,1,1013,<0.1%,No
AP1S1,3,3,1013,0.3%,No
AP2M1,3,3,1013,0.3%,No
ZNF283,4,3,1013,0.3%,No
LYPD5,2,2,1013,0.2%,No
CCDC157,3,3,1013,0.3%,No
ZNF575,2,2,1013,0.2%,No
PLEKHM2,2,1,1013,<0.1%,No
SYT11,6,6,1013,0.6%,No
MLC1,3,3,1013,0.3%,No
OR4C12,6,6,1013,0.6%,No
OR4C13,8,8,1013,0.8%,No
CLCNKA,4,4,1013,0.4%,No
