Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"CTNNB1","Catenin Beta 1","Protein Coding","60","GC03P041194","110.922889709473","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"POLD1","DNA Polymerase Delta 1, Catalytic Subunit","Protein Coding","53","GC19P080099","110.489440917969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLD1"
"RAD51C","RAD51 Paralog C","Protein Coding","50","GC17P058692","110.192001342773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51C"
"MUTYH","MutY DNA Glycosylase","Protein Coding","52","GC01M045329","108.677276611328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUTYH"
"MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","61","GC07P116672","108.177490234375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","30","GC11M001995","108.126365661621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","60","GC07M140748","106.858352661133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF"
"AXIN2","Axin 2","Protein Coding","55","GC17M065528","105.004272460938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AXIN2"
"PCAT1","Prostate Cancer Associated Transcript 1","RNA Gene","20","GC08P126553","103.19856262207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCAT1"
"MIR21","MicroRNA 21","RNA Gene","26","GC17P072430","102.974723815918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"RB1","RB Transcriptional Corepressor 1","Protein Coding","55","GC13P048303","101.512222290039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1"
"SMARCA4","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 4","Protein Coding","58","GC19P011021","99.2446441650391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA4"
"MEG3","Maternally Expressed 3","RNA Gene","31","GC14P111860","98.8163681030273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3"
"PVT1","Pvt1 Oncogene","RNA Gene","28","GC08P127900","97.8674240112305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVT1"
"GAS5","Growth Arrest Specific 5","RNA Gene","26","GC01M173947","97.0423202514648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS5"
"RET","Ret Proto-Oncogene","Protein Coding","61","GC10P043303","96.0801696777344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET"
"RAD51L3-RFFL","RAD51L3-RFFL Readthrough","RNA Gene","11","GC17M035009","95.6079330444336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51L3-RFFL"
"MSH3","MutS Homolog 3","Protein Coding","50","GC05P080654","94.2477340698242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH3"
"PCA3","Prostate Cancer Associated 3","RNA Gene","25","GC09P076691","93.2630081176758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCA3"
"UCA1","Urothelial Cancer Associated 1","RNA Gene","26","GC19P015828","93.2137908935547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCA1"
"MALAT1","Metastasis Associated Lung Adenocarcinoma Transcript 1","RNA Gene","27","GC11P072196","93.2050476074219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALAT1"
"ALK","ALK Receptor Tyrosine Kinase","Protein Coding","58","GC02M029190","93.1758728027344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALK"
"TERT","Telomerase Reverse Transcriptase","Protein Coding","59","GC05M001253","92.7694320678711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT"
"RNASEL","Ribonuclease L","Protein Coding","51","GC01M182573","92.4453887939453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASEL"
"HRAS","HRas Proto-Oncogene, GTPase","Protein Coding","59","GC11M007272","92.2474822998047","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS"
"MIR221","MicroRNA 221","RNA Gene","23","GC0XM045746","90.9349212646484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR221"
"MIR125A","MicroRNA 125a","RNA Gene","23","GC19P080165","90.3702392578125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125A"
"MIR145","MicroRNA 145","RNA Gene","26","GC05P149430","89.5121154785156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR145"
"CTNNA1","Catenin Alpha 1","Protein Coding","53","GC05P138613","89.0411529541016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNA1"
"HOTAIR","HOX Transcript Antisense RNA","RNA Gene","27","GC12M053962","89.0339736938477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTAIR"
"KLK3","Kallikrein Related Peptidase 3","Protein Coding","53","GC19P050854","88.5350723266602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK3"
"TSC2","TSC Complex Subunit 2","Protein Coding","56","GC16P019875","88.5083618164063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2"
"XIST","X Inactive Specific Transcript","RNA Gene","26","GC0XM073820","88.4179534912109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIST"
"MIR34A","MicroRNA 34a","RNA Gene","25","GC01M009630","87.7659606933594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A"
"BLM","BLM RecQ Like Helicase","Protein Coding","56","GC15P090717","87.6200408935547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLM"
"CDKN2B-AS1","CDKN2B Antisense RNA 1","RNA Gene","26","GC09P021994","87.4713134765625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1"
"MIR17","MicroRNA 17","RNA Gene","22","GC13P091350","86.9145355224609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"DICER1","Dicer 1, Ribonuclease III","Protein Coding","56","GC14M095086","86.0714874267578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DICER1"
"MIR143","MicroRNA 143","RNA Gene","26","GC05P149417","85.8588027954102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR143"
"CCAT2","Colon Cancer Associated Transcript 2","RNA Gene","15","GC08P127400","85.7315979003906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAT2"
"MRE11","MRE11 Homolog, Double Strand Break Repair Nuclease","Protein Coding","55","GC11M106764","85.4078521728516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRE11"
"MIR222","MicroRNA 222","RNA Gene","23","GC0XM045747","85.3551330566406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR222"
"MIR141","MicroRNA 141","RNA Gene","24","GC12P026366","85.05078125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR141"
"MIR205","MicroRNA 205","RNA Gene","22","GC01P209432","84.8797454833984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR205"
"CASC2","Cancer Susceptibility 2","RNA Gene","29","GC10P118046","84.6103591918945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC2"
"MIR31","MicroRNA 31","RNA Gene","22","GC09M021913","84.3762054443359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR31"
"MIR30A","MicroRNA 30a","RNA Gene","22","GC06M071403","83.5921173095703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30A"
"MLH3","MutL Homolog 3","Protein Coding","48","GC14M075013","83.5712203979492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH3"
"PRNCR1","Prostate Cancer Associated Non-Coding RNA 1","RNA Gene","16","GC08P127079","83.4054565429688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRNCR1"
"MIR146A","MicroRNA 146a","RNA Gene","25","GC05P160485","82.5948944091797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"PTCH1","Patched 1","Protein Coding","57","GC09M095442","82.4922103881836","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCH1"
"MIR20A","MicroRNA 20a","RNA Gene","22","GC13P091608","81.4321517944336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR20A"
"MIR182","MicroRNA 182","RNA Gene","24","GC07M129770","81.1493606567383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR182"
"MIR214","MicroRNA 214","RNA Gene","25","GC01M172234","80.6386947631836","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR214"
"CDK4","Cyclin Dependent Kinase 4","Protein Coding","61","GC12M058633","80.3859786987305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4"
"KLF6","KLF Transcription Factor 6","Protein Coding","51","GC10M003779","80.3262023925781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF6"
"MIR200B","MicroRNA 200b","RNA Gene","24","GC01P001167","80.2889099121094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200B"
"MIR126","MicroRNA 126","RNA Gene","25","GC09P136670","80.1805191040039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR126"
"NEAT1","Nuclear Paraspeckle Assembly Transcript 1","RNA Gene","28","GC11P072187","79.8617630004883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEAT1"
"ESR1","Estrogen Receptor 1","Protein Coding","61","GC06P151656","79.7747650146484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"FGFR2","Fibroblast Growth Factor Receptor 2","Protein Coding","63","GC10M121478","79.7553176879883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2"
"MIRLET7C","MicroRNA Let-7c","RNA Gene","25","GC21P016559","79.7548751831055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7C"
"MIR195","MicroRNA 195","RNA Gene","22","GC17M012589","79.5526733398438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR195"
"MIR223","MicroRNA 223","RNA Gene","25","GC0XP066018","79.232551574707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR223"
"MIR27A","MicroRNA 27a","RNA Gene","26","GC19M015111","78.8490829467773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR27A"
"HULC","Hepatocellular Carcinoma Up-Regulated Long Non-Coding RNA","RNA Gene","24","GC06P008450","78.7444000244141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HULC"
"HOTTIP","HOXA Distal Transcript Antisense RNA","RNA Gene","25","GC07P027198","78.7222518920898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTTIP"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","55","GC12P026558","78.6801986694336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B"
"MSMB","Microseminoprotein Beta","Protein Coding","47","GC10M046033","78.0563507080078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSMB"
"TUG1","Taurine Up-Regulated 1","Protein Coding","26","GC22P030969","77.6264801025391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUG1"
"MIR210","MicroRNA 210","RNA Gene","23","GC11M007277","77.5999298095703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR210"
"SRD5A2","Steroid 5 Alpha-Reductase 2","Protein Coding","49","GC02M031522","77.5658645629883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRD5A2"
"ELAC2","ElaC Ribonuclease Z 2","Protein Coding","49","GC17M012991","77.5130462646484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELAC2"
"PCAT2","Prostate Cancer Associated Transcript 2","RNA Gene","18","GC08M127072","76.9742736816406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCAT2"
"EPCAM","Epithelial Cell Adhesion Molecule","Protein Coding","56","GC02P047345","76.8528289794922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPCAM"
"MIR29A","MicroRNA 29a","RNA Gene","24","GC07M130876","76.47265625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29A"
"MIR106B","MicroRNA 106b","RNA Gene","24","GC07M103707","76.3514633178711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR106B"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","59","GC08P127735","75.9944534301758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","60","GC04P054657","75.9294586181641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"ZFAS1","ZNFX1 Antisense RNA 1","RNA Gene","23","GC20P049276","75.8837051391602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFAS1"
"MSR1","Macrophage Scavenger Receptor 1","Protein Coding","52","GC08M016107","75.7172546386719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSR1"
"MIR106A","MicroRNA 106a","RNA Gene","21","GC0XM134365","75.6530990600586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR106A"
"BMPR1A","Bone Morphogenetic Protein Receptor Type 1A","Protein Coding","57","GC10P096568","75.4440536499023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR1A"
"MIR183","MicroRNA 183","RNA Gene","22","GC07M129855","75.3312225341797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR183"
"SPRY4-IT1","SPRY4 Intronic Transcript 1","RNA Gene","17","GC05M142318","75.2931900024414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPRY4-IT1"
"MIR203A","MicroRNA 203a","RNA Gene","23","GC14P111609","74.8735656738281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR203A"
"MIR10B","MicroRNA 10b","RNA Gene","24","GC02P176150","74.6423187255859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR10B"
"MIR99A","MicroRNA 99a","RNA Gene","24","GC21P016539","74.3997192382813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR99A"
"DANCR","Differentiation Antagonizing Non-Protein Coding RNA","RNA Gene","26","GC04P052712","74.3835830688477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DANCR"
"KCNQ1OT1","KCNQ1 Opposite Strand/Antisense Transcript 1","RNA Gene","30","GC11M007381","74.279167175293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ1OT1"
"SCHLAP1","SWI/SNF Complex Antagonist Associated With Prostate Cancer 1","RNA Gene","15","GC02P180511","74.0923690795898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCHLAP1"
"MIR100","MicroRNA 100","RNA Gene","24","GC11M122152","74.0422210693359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR100"
"MIR199A1","MicroRNA 199a-1","RNA Gene","22","GC19M010817","73.6449890136719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR199A1"
"ZFHX3","Zinc Finger Homeobox 3","Protein Coding","48","GC16M072782","73.6221923828125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFHX3"
"PCAT7","Prostate Cancer Associated Transcript 7","RNA Gene","17","GC09P094851","73.3940277099609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCAT7"
"CCND1","Cyclin D1","Protein Coding","60","GC11P069641","73.381217956543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"BAP1","BRCA1 Associated Protein 1","Protein Coding","54","GC03M052401","73.2492294311523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAP1"
"MIR15A","MicroRNA 15a","RNA Gene","18","GC13M050049","73.2315216064453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR15A"
"MIR148A","MicroRNA 148a","RNA Gene","22","GC07M025950","73.1811141967773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR148A"
"MIRLET7B","MicroRNA Let-7b","RNA Gene","23","GC22P050273","72.6702880859375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7B"
"PCAT29","Prostate Cancer Associated Transcript 29","RNA Gene","18","GC15P131085","72.3777770996094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCAT29"
"MIRLET7D","MicroRNA Let-7d","RNA Gene","25","GC09P094178","72.2756958007813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7D"
"MIR22","MicroRNA 22","RNA Gene","23","GC17M001713","71.9441375732422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR22"
"EPHB2","EPH Receptor B2","Protein Coding","59","GC01P022710","71.9369125366211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHB2"
"PCAT6","Prostate Cancer Associated Transcript 6","RNA Gene","18","GC01P202810","71.9330291748047","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCAT6"
"FH","Fumarate Hydratase","Protein Coding","53","GC01M241499","71.7186126708984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FH"
"MIR191","MicroRNA 191","RNA Gene","24","GC03M052145","71.6561813354492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR191"
"FANCC","FA Complementation Group C","Protein Coding","55","GC09M095099","71.4850997924805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCC"
"MIR181A1","MicroRNA 181a-1","RNA Gene","21","GC01M198860","71.3747406005859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181A1"
"MIR25","MicroRNA 25","RNA Gene","22","GC07M100093","71.1379013061523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR25"
"FGFR3","Fibroblast Growth Factor Receptor 3","Protein Coding","63","GC04P001795","71.0914306640625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3"
"MIR23B","MicroRNA 23b","RNA Gene","22","GC09P095085","71.0161590576172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR23B"
"MIR96","MicroRNA 96","RNA Gene","23","GC07M129774","70.995475769043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR96"
"SPOP","Speckle Type BTB/POZ Protein","Protein Coding","51","GC17M049598","70.8355712890625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPOP"
"MIR224","MicroRNA 224","RNA Gene","19","GC0XM151958","70.3335266113281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR224"
"POLK","DNA Polymerase Kappa","Protein Coding","50","GC05P075511","70.1319122314453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLK"
"TSC1","TSC Complex Subunit 1","Protein Coding","54","GC09M132891","70.0652084350586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC1"
"MIR127","MicroRNA 127","RNA Gene","23","GC14P111537","70.0043487548828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR127"
"MIR320A","MicroRNA 320a","RNA Gene","24","GC08M022284","69.9895782470703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR320A"
"PCGEM1","PCGEM1 Prostate-Specific Transcript","RNA Gene","21","GC02P192749","69.9623870849609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCGEM1"
"SNHG1","Small Nucleolar RNA Host Gene 1","RNA Gene","23","GC11M105972","69.6740570068359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG1"
"MIR149","MicroRNA 149","RNA Gene","26","GC02P240456","69.2128829956055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR149"
"HNF1B","HNF1 Homeobox B","Protein Coding","50","GC17M037686","68.4388580322266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1B"
"TERC","Telomerase RNA Component","RNA Gene","31","GC03M169765","68.3382949829102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERC"
"MIAT","Myocardial Infarction Associated Transcript","RNA Gene","27","GC22P026646","68.2180862426758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIAT"
"MIR23A","MicroRNA 23a","RNA Gene","23","GC19M015117","67.7639465332031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR23A"
"MIR296","MicroRNA 296","RNA Gene","21","GC20M058817","66.9456939697266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR296"
"CBR3-AS1","CBR3 Antisense RNA 1","RNA Gene","21","GC21M036090","66.8195877075195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBR3-AS1"
"MIRLET7G","MicroRNA Let-7g","RNA Gene","22","GC03M052268","66.740364074707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7G"
"CCAT1","Colon Cancer Associated Transcript 1","RNA Gene","17","GC08M127207","66.163330078125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAT1"
"FLCN","Folliculin","Protein Coding","48","GC17M017212","66.0080947875977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLCN"
"MXI1","MAX Interactor 1, Dimerization Protein","Protein Coding","48","GC10P110208","65.9523696899414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MXI1"
"PTENP1","Phosphatase And Tensin Homolog Pseudogene 1","Pseudogene","22","GC09M033673","65.8775177001953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTENP1"
"MIR497","MicroRNA 497","RNA Gene","22","GC17M012591","65.7032470703125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR497"
"MIR27B","MicroRNA 27b","RNA Gene","23","GC09P095102","65.4654541015625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR27B"
"MIR10A","MicroRNA 10a","RNA Gene","24","GC17M048579","65.4207916259766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR10A"
"CASP8","Caspase 8","Protein Coding","59","GC02P201233","65.3543243408203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","63","GC01M011106","65.0191192626953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"TP53COR1","Tumor Protein P53 Pathway Corepressor 1","RNA Gene","9","GC06U903133","64.9437408447266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53COR1"
"MIR29B2","MicroRNA 29b-2","RNA Gene","21","GC01M207818","64.3518981933594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29B2"
"DRAIC","Downregulated RNA In Cancer, Inhibitor Of Cell Invasion And Migration","RNA Gene","17","GC15P129583","64.2505340576172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRAIC"
"MIR199B","MicroRNA 199b","RNA Gene","22","GC09M128244","64.2100524902344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR199B"
"PCSEAT","Prostate Cancer Expressed EZH2 Associated Transcript","RNA Gene","14","GC21P041577","64.1799240112305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSEAT"
